TICKER	 OPEN	LOW	HIGH	PRECLOSE	LTP	BUY	SELL	GAIN-$	LOSE-$	BUCLO	BECLO	VOLUME	HAMMER	HAMMER+	I-HAM	IHAMMER+	DOJI
CROMPTON	477.4	476.15	503	478.9	489	FALSE	FALSE	25.6	-1.25	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
NMDC	142.3	140.95	145.4	143	143.8	FALSE	FALSE	3.1	-1.35	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
CASTROLIND	140.45	138.75	142.25	140.2	140	FALSE	FALSE	1.8	-1.7	FALSE	FALSE	0.00	FALSE	FALSE	TRUE	FALSE	FALSE
PETRONET	236	234.35	238.95	238.55	235	FALSE	FALSE	2.95	-1.65	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
WIPRO	634.8	630.2	639.75	634.1	636	FALSE	FALSE	4.95	-4.6	FALSE	FALSE	0.00	TRUE	FALSE	TRUE	FALSE	TRUE
AMBUJACEM	399.9	396	404.8	400.2	403	FALSE	FALSE	4.9	-3.9	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
CANBK	172.4	168	178.95	173	176.8	FALSE	FALSE	6.55	-4.4	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
NTPC	140.95	137.7	144.35	141.85	139.8	FALSE	FALSE	3.4	-3.25	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
MOTHERSUMI	224.5	221.2	226.4	225.95	224.4	FALSE	FALSE	1.9	-3.3	FALSE	FALSE	0.00	TRUE	FALSE	TRUE	FALSE	TRUE
PRESTIGE	487.9	473.65	489	490.85	481.7	FALSE	FALSE	1.1	-14.25	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
ONGC	145.2	144.1	149.65	144.5	146.15	FALSE	FALSE	4.45	-1.1	FALSE	FALSE	0.00	FALSE	FALSE	TRUE	FALSE	FALSE
M&MFIN	183.95	182.05	187.4	185.2	186	FALSE	FALSE	3.45	-1.9	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
AUBANK	1160	1120	1188	1164.25	1182	FALSE	FALSE	28	-40	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
TATAPOWER	158.75	156.6	164.95	158.75	163.5	FALSE	FALSE	6.2	-2.15	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
EXIDEIND	177.8	177.2	179.65	178.25	178.75	FALSE	FALSE	1.85	-0.6	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
HAL	1353.3	1326.65	1367.45	1354.45	1336.6	FALSE	FALSE	14.15	-26.65	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
PNB	39.95	39.35	41.2	40.1	40.65	FALSE	FALSE	1.25	-0.6	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
ASHOKLEY	133.95	129.7	134.5	133.8	130.8	FALSE	FALSE	0.55	-4.25	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
BAJAJHLDNG	4784.2	4710	4899.95	4808.6	4760	FALSE	FALSE	115.75	-74.2	FALSE	FALSE	0.00	FALSE	FALSE	TRUE	FALSE	FALSE
PFC	141.9	138.2	142.1	142.1	139.85	FALSE	FALSE	0.2	-3.7	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
BEL	200	199.15	204.25	202.95	201.3	FALSE	FALSE	4.25	-0.85	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
FEDERALBNK	83.95	82.7	84.3	84.3	83.25	FALSE	FALSE	0.35	-1.25	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
BANKBARODA	81.45	80	83.5	81.75	82.4	FALSE	FALSE	2.05	-1.45	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
IOC	125.65	125	128.85	125.3	127.05	FALSE	FALSE	3.2	-0.65	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
POWERGRID	190.8	189.65	193.5	189.9	191.35	FALSE	FALSE	2.7	-1.15	FALSE	FALSE	0.00	FALSE	FALSE	TRUE	FALSE	FALSE
BHEL	64.3	63.6	66.3	64.65	65.3	FALSE	FALSE	2	-0.7	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
ABCAPITAL	112.2	110.9	112.65	112.75	112.45	FALSE	FALSE	0.45	-1.3	FALSE	FALSE	0.00	TRUE	FALSE	FALSE	FALSE	FALSE
OIL	261	247.95	267.8	260.2	248.5	FALSE	FALSE	6.8	-13.05	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
GSPL	316	312.1	321.5	316	314	FALSE	FALSE	5.5	-3.9	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
L&TFH	89.95	88.5	90.35	90.95	89.5	FALSE	FALSE	0.4	-1.45	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
RBLBANK	188.05	187.55	197.6	190.9	193.1	FALSE	FALSE	9.55	-0.5	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
UNIONBANK	36	35.7	36.9	36.25	36.6	FALSE	FALSE	0.9	-0.3	FALSE	FALSE	11,428,696.00	FALSE	FALSE	FALSE	FALSE	FALSE
GMRINFRA	38.3	37.5	41.65	38.35	40.75	FALSE	FALSE	3.35	-0.8	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
YESBANK	12.5	12.4	13.4	12.55	12.85	FALSE	FALSE	0.9	-0.1	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
BANKINDIA	55.4	54.7	56.8	55.5	56.65	FALSE	FALSE	1.4	-0.7	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
GODREJAGRO	636	628	643.95	640	631	FALSE	FALSE	7.95	-8	FALSE	FALSE	93,951.00	FALSE	FALSE	FALSE	FALSE	FALSE
IDEA	11.65	11.35	11.75	11.9	11.4	FALSE	FALSE	0.1	-0.3	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
TATAMOTORS	332.65	325.7	337.3	333.35	332.9	FALSE	FALSE	4.65	-6.95	FALSE	FALSE	0.00	TRUE	FALSE	TRUE	FALSE	TRUE
IDFCFIRSTB	47.2	46.55	47.65	47.65	47.3	FALSE	FALSE	0.45	-0.65	FALSE	FALSE	0.00	TRUE	FALSE	TRUE	FALSE	TRUE
M&M	800	787	831	803.05	827	FALSE	FALSE	31	-13	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
COALINDIA	185.4	182.4	189.9	185.1	188.8	FALSE	FALSE	4.5	-3	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
VGUARD	255.15	255.15	262	257.95	259.9	TRUE	FALSE	6.85	0	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
RECLTD	157.9	153.5	158.15	157.85	155.9	FALSE	FALSE	0.25	-4.4	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
ADANIPORTS	735.85	722	738.25	737.9	734.35	FALSE	FALSE	2.4	-13.85	FALSE	FALSE	0.00	TRUE	FALSE	FALSE	FALSE	FALSE
BPCL	431.9	429	437.6	432.2	432.6	FALSE	FALSE	5.7	-2.9	FALSE	FALSE	0.00	TRUE	FALSE	TRUE	FALSE	TRUE
FORTIS	262	260.7	266.85	263.5	265.05	FALSE	FALSE	4.85	-1.3	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
INFY	1665.1	1661.25	1678.95	1675.2	1665.6	FALSE	FALSE	13.85	-3.85	FALSE	FALSE	0.00	TRUE	FALSE	TRUE	FALSE	TRUE
CADILAHC	552	544.25	559.95	551.85	556.85	FALSE	FALSE	7.95	-7.75	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
APOLLOTYRE	224.5	222.5	226.65	225.7	223.95	FALSE	FALSE	2.15	-2	FALSE	FALSE	0.00	FALSE	FALSE	TRUE	FALSE	FALSE
TATACONSUM	812.9	796	820	813.6	801.25	FALSE	FALSE	7.1	-16.9	FALSE	FALSE	1,989,799.00	FALSE	FALSE	FALSE	FALSE	FALSE
HINDPETRO	299.6	297	306	300	298.9	FALSE	FALSE	6.4	-2.6	FALSE	FALSE	0.00	FALSE	FALSE	TRUE	FALSE	FALSE
HDFCLIFE	720	714.3	730.5	722.4	728.5	FALSE	FALSE	10.5	-5.7	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
SRTRANSFIN	1293.85	1273.3	1299.55	1298.85	1291.95	FALSE	FALSE	5.7	-20.55	FALSE	FALSE	0.00	TRUE	FALSE	TRUE	FALSE	TRUE
ADANIGREEN	1147.95	1146.6	1189.9	1146.6	1147.5	FALSE	FALSE	41.95	-1.35	FALSE	FALSE	0.00	FALSE	FALSE	TRUE	FALSE	FALSE
EMAMILTD	569.9	568.65	579.5	574	569.9	FALSE	FALSE	9.6	-1.25	FALSE	FALSE	0.00	TRUE	FALSE	TRUE	FALSE	TRUE
LTI	5758	5680	5800	5765.15	5758	FALSE	FALSE	42	-78	FALSE	FALSE	0.00	TRUE	FALSE	TRUE	FALSE	TRUE
VBL	900.15	883.5	916	897.6	906	FALSE	FALSE	15.85	-16.65	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
ENDURANCE	1578.6	1550.05	1589.75	1584.45	1565	FALSE	FALSE	11.15	-28.55	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
